data;petr4;bbdc3;vale5;ambv4;itub4
2004-05-26;-0,002269504;0,00952381;0,01369863;0,032667877;0,00984252
2004-05-27;0,026300825;0,028396226;0,028303303;0,014059754;0,021442495
2004-05-28;-0,016484278;-9,17347E-05;-0,025261006;0,01915078;0
2004-05-31;0,010985915;-0,009174312;0,011235113;-0,001785562;0
2004-06-01;0,028141544;0,023055556;-0,004518184;0,01362862;0,012107092
2004-06-02;-0,001355014;0,010432191;-0,021577381;0,011764706;0,005660377
2004-06-03;-0,013568521;0;-0,020532319;-0,00166113;-0,013133208
2004-06-04;0,001237964;8,96861E-05;0,020962733;0,001663894;0,009125475
2004-06-07;0,022942712;0,021433055;0,041901141;-0,006395349;0,043707611
2004-06-08;-0,015578834;0,008779631;-0,007371725;0,00309287;-0,012274368
2004-06-09;-0,012278308;-0,02175805;-0,047426471;0,000833333;-0,018274854
2004-06-10;;;;;
2004-06-11;;;;;
2004-06-14;0,002762431;-0,017769444;-0,038901602;-0,0015;-0,018867925
2004-06-15;0,028236915;0,005;-0,03968254;0,001502253;0,026384615
2004-06-16;0,004018754;0,013116237;-0,031404959;0;0,015513753
2004-06-17;0,004536358;-0,013392857;0,028242321;0;-0,018450184
2004-06-18;-0,005179971;-0,018914027;0,001576633;0,011666667;-0,007481203
2004-06-21;-0,012683578;0,016603634;-0,02071251;-0,008237232;0,012461649
2004-06-22;0,011359026;-0,009164323;0,005922166;-0,004983389;-0,014964459
2004-06-23;0,038908945;0,019230769;0,034398654;0,021619366;0,010254463
2004-06-24;-0,001287001;0,008984726;0,019513782;-0,011340796;0,009360902
2004-06-25;-0,019329897;0,01522707;0,008852381;0,014859259;0,016760401
2004-06-28;-0,014454665;0,008683449;-0,061185771;-0,004869707;0,003663138
2004-06-29;0,008666667;0,004347826;0,015072415;0,002438585;0,041132888
2004-06-30;0,021943159;-0,003116883;0;0,005730612;0,009605272
2004-07-01;-0,005303324;0,023685457;-0,002073828;0,003279168;0,024910537
2004-07-02;-0,00130039;0,013273966;-0,011637573;-0,004417261;-0,024644068
2004-07-05;-0,005729167;-0,000337809;0,013456686;-0,006955956;0,00441386
2004-07-06;-0,012048193;-0,015797922;-0,019917012;-0,006906484;-0,024221453
2004-07-07;-0,015111347;-0,017167382;0,03530906;0,05471325;-0,010638298
2004-07-08;-0,00269179;-0,007860262;-0,015294021;0,003921875;-0,007168459
2004-07-09;;;;;
2004-07-12;;;;;
2004-07-13;-0,005354752;0,003433476;0,008230453;-0,00456621;0,01017187
2004-07-14;-0,002018843;0,00615911;0,013469388;-0,003058104;-0,000347222
2004-07-15;0,033041133;-0,005271212;0,039871124;0,004601227;0,005557485
2004-07-16;0,023237598;0,020598291;0,02788536;0;0,015544041
2004-07-19;-0,012630773;-0,003433548;-0,013564431;-0,008854962;-0,014285714
2004-07-20;-0,007623724;0,000252101;0,01092437;0,004343808;0,004140787
2004-07-21;-0,005859375;-0,033857011;-0,010806318;-0,019968713;-0,027491409
2004-07-22;-0,017550753;0,017391304;-0,022154316;-0,029733959;-0,024028269
2004-07-23;-0,002799627;-0,012820513;-0,0078125;-0,001612903;0,002932657
2004-07-26;-0,010695187;0,003463203;-0,001496063;0,009693053;-0,021695968
2004-07-27;0,022972973;0,00949094;0,018137371;-0,016;0,051660517
2004-07-28;0,018494055;8,54701E-05;0,028657734;0,017886179;-0,011894737
